,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
117,0.951,0.8367346938775511,0.9905079999999999,0.9864864864864865,10,16,0.001,0.001,0.001,0.1,50,0.75,50,True
118,0.942,0.8775510204081632,0.9908279999999999,0.9909909909909911,9,16,0.001,0.001,0.001,0.1,50,0.75,50,True
119,0.947,0.9183673469387755,0.989944,0.9842342342342343,3,16,0.001,0.001,0.001,0.1,50,0.75,50,True
120,0.955,0.94,0.9913,0.9856,7,16,0.001,0.001,0.001,0.0,50,0.5,50,True
121,0.951,0.82,0.989912,0.9696,9,16,0.001,0.001,0.001,0.0,50,0.5,50,True
122,0.952,0.96,0.991664,0.9824,3,16,0.001,0.001,0.001,0.0,50,0.5,50,True
123,0.949,0.86,0.99134,0.9967999999999999,10,16,0.001,0.001,0.001,0.0,50,0.5,50,True
124,0.94,0.82,0.9910720000000001,0.9823999999999999,4,16,0.001,0.001,0.001,0.0,50,0.5,50,True
125,0.952,0.9,0.990792,0.992,6,16,0.001,0.001,0.001,0.0,50,0.5,50,True
126,0.954,0.88,0.9914080000000001,0.9887999999999999,1,16,0.001,0.001,0.001,0.0,50,0.5,50,True
127,0.953,0.9,0.99126,0.9967999999999999,5,16,0.001,0.001,0.001,0.0,50,0.5,50,True
128,0.948,0.92,0.990892,0.9856,2,16,0.001,0.001,0.001,0.0,50,0.5,50,True
129,0.954,0.88,0.99138,0.9823999999999999,8,16,0.001,0.001,0.001,0.0,50,0.5,50,True
130,0.938,0.8571428571428571,0.989948,0.9864864864864865,7,16,0.001,0.001,0.001,0.5,50,0.75,50,True
131,0.947,0.8367346938775511,0.991356,0.9369369369369369,4,16,0.001,0.001,0.001,0.5,50,0.75,50,True
132,0.939,0.8775510204081632,0.988992,0.9864864864864865,10,16,0.001,0.001,0.001,0.5,50,0.75,50,True
133,0.951,0.8367346938775511,0.990448,0.9684684684684685,3,16,0.001,0.001,0.001,0.5,50,0.75,50,True
134,0.949,0.8163265306122449,0.990468,0.9819819819819819,9,16,0.001,0.001,0.001,0.5,50,0.75,50,True
135,0.954,0.8571428571428571,0.9913720000000001,0.9774774774774775,1,16,0.001,0.001,0.001,0.5,50,0.75,50,True
136,0.948,0.8163265306122449,0.991452,0.9617117117117117,6,16,0.001,0.001,0.001,0.5,50,0.75,50,True
137,0.954,0.8367346938775511,0.9910119999999999,0.9932432432432433,8,16,0.001,0.001,0.001,0.5,50,0.75,50,True
138,0.949,0.8571428571428571,0.990444,0.9909909909909911,2,16,0.001,0.001,0.001,0.5,50,0.75,50,True
139,0.944,0.46938775510204084,0.990692,0.8941441441441442,5,16,0.001,0.001,0.001,0.5,50,0.75,50,True
140,0.934,0.56,0.987608,,1,16,0.001,0.001,0.001,0.1,50,1.0,50,True
141,0.946,0.56,0.9907,,6,16,0.001,0.001,0.001,0.1,50,1.0,50,True
142,0.955,0.62,0.9907560000000001,,2,16,0.001,0.001,0.001,0.1,50,1.0,50,True
143,0.952,0.78,0.991244,,8,16,0.001,0.001,0.001,0.1,50,1.0,50,True
144,0.945,0.7,0.990672,,5,16,0.001,0.001,0.001,0.1,50,1.0,50,True
145,0.947,0.36,0.9898680000000001,,7,16,0.001,0.001,0.001,0.1,50,1.0,50,True
146,0.946,0.72,0.9914519999999999,,4,16,0.001,0.001,0.001,0.1,50,1.0,50,True
147,0.945,0.84,0.991276,,10,16,0.001,0.001,0.001,0.1,50,1.0,50,True
148,0.954,0.72,0.9916039999999999,,9,16,0.001,0.001,0.001,0.1,50,1.0,50,True
149,0.949,0.72,0.990568,,3,16,0.001,0.001,0.001,0.1,50,1.0,50,True
150,0.95,0.9,0.9908480000000001,,1,16,0.001,0.001,0.001,0.1,50,0.0,50,True
151,0.949,0.78,0.991036,,6,16,0.001,0.001,0.001,0.1,50,0.0,50,True
152,0.953,0.68,0.991436,,8,16,0.001,0.001,0.001,0.1,50,0.0,50,True
153,0.95,0.68,0.9898959999999999,,2,16,0.001,0.001,0.001,0.1,50,0.0,50,True
154,0.955,0.78,0.991244,,5,16,0.001,0.001,0.001,0.1,50,0.0,50,True
