,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
104,1.0,0.8,1.0,0.9072,4,16,0.001,0.001,0.001,0.0,50,0.5,50,False
105,1.0,0.66,1.0,0.8655999999999999,6,16,0.001,0.001,0.001,0.0,50,0.5,50,False
106,1.0,0.72,1.0,0.824,1,16,0.001,0.001,0.001,0.0,50,0.5,50,False
107,1.0,0.72,1.0,0.7872,5,16,0.001,0.001,0.001,0.0,50,0.5,50,False
108,0.999,0.88,1.0,0.8583999999999998,8,16,0.001,0.001,0.001,0.0,50,0.5,50,False
109,1.0,0.86,1.0,0.8976,2,16,0.001,0.001,0.001,0.0,50,0.5,50,False
110,1.0,0.8367346938775511,1.0,0.9481981981981982,1,16,0.001,0.001,0.001,1.0,50,0.25,50,False
111,0.998,0.7142857142857143,1.0,0.8806306306306306,6,16,0.001,0.001,0.001,1.0,50,0.25,50,False
112,0.997,0.7346938775510204,1.0,0.8941441441441441,2,16,0.001,0.001,0.001,1.0,50,0.25,50,False
113,0.998,0.7551020408163265,1.0,0.8018018018018018,8,16,0.001,0.001,0.001,1.0,50,0.25,50,False
114,0.999,0.7142857142857143,1.0,0.8243243243243243,5,16,0.001,0.001,0.001,1.0,50,0.25,50,False
115,0.999,0.46938775510204084,0.999992,0.44594594594594594,7,16,0.001,0.001,0.001,1.0,50,0.25,50,False
116,0.998,0.7755102040816326,1.0,0.8761261261261262,4,16,0.001,0.001,0.001,1.0,50,0.25,50,False
117,0.999,0.7755102040816326,1.0,0.8310810810810811,9,16,0.001,0.001,0.001,1.0,50,0.25,50,False
118,0.999,0.7346938775510204,1.0,0.6914414414414414,3,16,0.001,0.001,0.001,1.0,50,0.25,50,False
119,0.998,0.7755102040816326,1.0,0.9414414414414415,10,16,0.001,0.001,0.001,1.0,50,0.25,50,False
120,1.0,0.5918367346938775,1.0,0.6948198198198199,8,16,0.001,0.001,0.001,0.5,50,0.75,50,False
121,1.0,0.7142857142857143,1.0,0.8243243243243243,2,16,0.001,0.001,0.001,0.5,50,0.75,50,False
122,0.999,0.6938775510204082,1.0,0.8141891891891893,5,16,0.001,0.001,0.001,0.5,50,0.75,50,False
123,1.0,0.6326530612244898,1.0,0.6869369369369369,1,16,0.001,0.001,0.001,0.5,50,0.75,50,False
124,1.0,0.6530612244897959,1.0,0.7972972972972974,6,16,0.001,0.001,0.001,0.5,50,0.75,50,False
125,1.0,0.7142857142857143,1.0,0.7635135135135136,4,16,0.001,0.001,0.001,0.5,50,0.75,50,False
126,0.999,0.7959183673469388,1.0,0.9099099099099099,3,16,0.001,0.001,0.001,0.5,50,0.75,50,False
127,0.999,0.5918367346938775,1.0,0.6317567567567568,9,16,0.001,0.001,0.001,0.5,50,0.75,50,False
