sample_accession,run_accession,library_layout,read1,read2,read1_md5,read2_md5
SAMN32301380,SRR22801858,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/058/SRR22801858/SRR22801858_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/058/SRR22801858/SRR22801858_2.fastq.gz,b0d046a742181b463d26a1497d1b4e73,e50fb38508567d6aa0f5d0cd99a65f2e
SAMN32301381,SRR22801857,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/057/SRR22801857/SRR22801857_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/057/SRR22801857/SRR22801857_2.fastq.gz,c2a29dc8f363ac61e4e6ff1cd2072cb3,007d16af7fa4cc6ee3559e1df61b730f
SAMN32301382,SRR22801855,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/055/SRR22801855/SRR22801855_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/055/SRR22801855/SRR22801855_2.fastq.gz,fc2c6fb6e4b9893b0179d1a1e5d5240b,c1f8211c4090f242b59c013aedf0a387
SAMN32301383,SRR22801854,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/054/SRR22801854/SRR22801854_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/054/SRR22801854/SRR22801854_2.fastq.gz,bb7b4b4c4a3c20629ee429150c00105d,bbcb996ae751bb741646849906a060a6
SAMN32301384,SRR22801853,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/053/SRR22801853/SRR22801853_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/053/SRR22801853/SRR22801853_2.fastq.gz,b239ce1d23eff1d1143ac1660142af84,6c27b82d569be62d51724f3555aad56f
SAMN32301385,SRR22801852,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/052/SRR22801852/SRR22801852_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/052/SRR22801852/SRR22801852_2.fastq.gz,20e54f468affd1e418a89e6f86107230,395a86b96e7707576f999b8aedea5503
SAMN32301386,SRR22801851,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/051/SRR22801851/SRR22801851_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/051/SRR22801851/SRR22801851_2.fastq.gz,621f529a0b64aa22234636dd59e41b33,c8a2bc0b6f7311cc4a43d50c7dcee006
SAMN32301387,SRR22801850,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/050/SRR22801850/SRR22801850.fastq.gz,,1e1af9e30f1a1c352e7982e5010fcf64,
SAMN32301388,SRR22801849,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/049/SRR22801849/SRR22801849.fastq.gz,,5c4263464d4d6ed0301534e2e263b993,
SAMN32301389,SRR22801848,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/048/SRR22801848/SRR22801848_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/048/SRR22801848/SRR22801848_2.fastq.gz,38720d5ebc72e4147555beb44f70b7ff,c49d2ed6eb69c0acd56924392ba124d9
SAMN32301390,SRR22801847,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/047/SRR22801847/SRR22801847_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/047/SRR22801847/SRR22801847_2.fastq.gz,520859527ce3087c311b1832a4e440b1,468cda9d53c7d038c88326678f721dfb
SAMN32301391,SRR22801846,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/046/SRR22801846/SRR22801846.fastq.gz,,9a43572964a2d3193f1eb02087ed7171,
SAMN19922659,SRR15170751,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/051/SRR15170751/SRR15170751_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/051/SRR15170751/SRR15170751_2.fastq.gz,3451e381e71821847a6de0620523ca3b,d6043de1aa81fc591d5d020ab1548759
